column,description,unit,source_or_generation,recommended_use
scenario_id,Provenance or scenario descriptor,text,Generated metadata,reproducibility
ai_utilization,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
Pdc_forecast_kW,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
Ppv_forecast_kW,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
price_sell_EUR_per_kWh,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
price_forecast_EUR_per_kWh,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
renewable_share_proxy,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
cooling_dataset_server_workload_pct,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
cooling_ratio_model,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
P_net_without_battery_kW,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
P_import_without_battery_kW,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
P_export_without_battery_kW,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
DR_required_reduction_kW,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
hour_of_day,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
day_of_week,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
month,Derived or auxiliary benchmark variable,various,Generated during dataset construction,model feature or diagnostic
